,month,hpi_value
384,2008-01-01,217.962907
385,2008-02-01,211.46784
386,2008-03-01,205.318901
387,2008-04-01,199.96193
388,2008-05-01,195.42678
389,2008-06-01,191.530097
390,2008-07-01,188.301926
391,2008-08-01,185.034759
392,2008-09-01,181.622591
393,2008-10-01,178.359964
394,2008-11-01,174.9477
395,2008-12-01,171.180934
396,2009-01-01,167.219222
397,2009-02-01,163.668526
398,2009-03-01,160.832924
399,2009-04-01,158.747252
400,2009-05-01,157.710742
401,2009-06-01,158.078261
402,2009-07-01,159.380395
403,2009-08-01,160.778409
404,2009-09-01,162.056772
405,2009-10-01,163.09323
406,2009-11-01,163.981021
407,2009-12-01,164.515979
408,2010-01-01,164.381856
409,2010-02-01,163.980161
410,2010-03-01,164.016958
411,2010-04-01,164.41255
412,2010-05-01,164.773601
413,2010-06-01,164.978195
414,2010-07-01,164.788164
415,2010-08-01,164.300196
416,2010-09-01,163.354687
417,2010-10-01,162.062542
418,2010-11-01,160.681415
419,2010-12-01,159.24315
420,2011-01-01,157.741829
421,2011-02-01,156.288145
422,2011-03-01,155.243288
423,2011-04-01,154.711754
424,2011-05-01,154.372169
425,2011-06-01,153.968101
426,2011-07-01,153.504745
427,2011-08-01,152.783758
428,2011-09-01,151.878053
429,2011-10-01,150.838613
430,2011-11-01,149.748201
431,2011-12-01,148.752045
432,2012-01-01,147.619967
433,2012-02-01,146.611155
434,2012-03-01,146.34449
435,2012-04-01,147.125512
436,2012-05-01,148.555393
437,2012-06-01,150.252718
438,2012-07-01,151.973626
439,2012-08-01,153.465649
440,2012-09-01,154.980009
441,2012-10-01,156.603618
442,2012-11-01,158.184909
443,2012-12-01,159.421743
444,2013-01-01,160.580108
445,2013-02-01,162.29727
446,2013-03-01,164.929866
447,2013-04-01,168.494189
448,2013-05-01,172.498265
449,2013-06-01,176.513978
450,2013-07-01,180.40073
451,2013-08-01,183.762307
452,2013-09-01,186.275539
453,2013-10-01,187.994079
454,2013-11-01,188.918059
455,2013-12-01,189.358466
456,2014-01-01,189.810307
457,2014-02-01,190.645534
458,2014-03-01,192.070715
459,2014-04-01,193.876805
460,2014-05-01,195.677964
461,2014-06-01,197.212815
462,2014-07-01,198.5355
463,2014-08-01,199.60252
464,2014-09-01,200.201752
465,2014-10-01,200.446012
466,2014-11-01,200.48414
467,2014-12-01,200.447254
468,2015-01-01,200.603946
469,2015-02-01,201.101368
470,2015-03-01,202.282293
471,2015-04-01,204.259187
472,2015-05-01,206.420688
473,2015-06-01,208.449829
474,2015-07-01,210.147418
475,2015-08-01,211.379571
476,2015-09-01,212.206834
477,2015-10-01,212.681288
478,2015-11-01,213.058865
479,2015-12-01,213.462879
480,2016-01-01,213.875706
481,2016-02-01,214.492512
482,2016-03-01,216.039863
483,2016-04-01,218.327563
484,2016-05-01,220.552832
485,2016-06-01,222.644809
486,2016-07-01,224.502311
487,2016-08-01,225.935272
488,2016-09-01,226.844734
489,2016-10-01,227.314028
490,2016-11-01,227.687968
491,2016-12-01,228.141793
492,2017-01-01,228.891149
493,2017-02-01,229.888738
494,2017-03-01,231.270438
495,2017-04-01,233.240006
496,2017-05-01,235.591299
497,2017-06-01,237.95268
498,2017-07-01,239.949704
499,2017-08-01,241.60906
500,2017-09-01,242.982061
501,2017-10-01,243.955266
502,2017-11-01,244.570043
503,2017-12-01,245.177418
504,2018-01-01,246.105952
505,2018-02-01,247.63691
506,2018-03-01,249.822279
507,2018-04-01,252.224553
508,2018-05-01,254.563692
509,2018-06-01,256.754743
510,2018-07-01,258.544923
511,2018-08-01,259.908489
